,Date,Time,Open,High,Low,Close,Volume
1439,2021.06.18,00:00,1776.37,1796.96,1760.91,1764.35,99404
1440,2021.06.20,00:00,1767.03,1770.06,1766.75,1769.31,3886
1441,2021.06.21,00:00,1769.14,1787.61,1766.4,1783.51,99379
1442,2021.06.22,00:00,1783.55,1790.06,1772.32,1777.52,83801
1443,2021.06.23,00:00,1777.62,1794.79,1773.24,1777.22,81120
1444,2021.06.24,00:00,1777.07,1787.88,1772.75,1775.16,77352
1445,2021.06.25,00:00,1775.1,1790.29,1773.58,1781.17,71733
1446,2021.06.27,00:00,1781.52,1782.76,1780.62,1781.91,2459
1447,2021.06.28,00:00,1781.82,1785.67,1770.55,1778.04,77717
1448,2021.06.29,00:00,1777.91,1778.84,1750.54,1761.42,80332
1449,2021.06.30,00:00,1761.43,1774.3,1753.23,1768.13,81107
1450,2021.07.01,00:00,1768.39,1782.76,1765.63,1775.51,79424
1451,2021.07.02,00:00,1775.54,1794.94,1774.19,1787.33,74341
1452,2021.07.04,00:00,1787.42,1787.58,1785.46,1786.14,2112
1453,2021.07.05,00:00,1786.11,1794.17,1784.36,1791.19,44546
1454,2021.07.06,00:00,1790.99,1814.9,1790.03,1795.43,87597
1455,2021.07.07,00:00,1795.18,1809.67,1793.81,1803.27,82705
1456,2021.07.08,00:00,1803.23,1818.22,1794.29,1803.66,91621
1457,2021.07.09,00:00,1803.88,1812.29,1796.57,1808.11,76174
1458,2021.07.11,00:00,1807.67,1808.45,1806.27,1806.39,2426
1459,2021.07.12,00:00,1806.55,1810.67,1791.52,1807.07,75120
1460,2021.07.13,00:00,1807.03,1817.0,1798.63,1805.96,77229
1461,2021.07.14,00:00,1805.8,1829.67,1804.48,1826.33,78596
1462,2021.07.15,00:00,1826.35,1833.76,1820.24,1829.43,78875
1463,2021.07.16,00:00,1829.5,1831.4,1808.89,1811.92,77196
1464,2021.07.18,00:00,1811.51,1815.79,1810.38,1815.62,3213
1465,2021.07.19,00:00,1815.58,1817.18,1794.93,1811.39,92826
1466,2021.07.20,00:00,1811.5,1824.83,1804.97,1809.71,85698
1467,2021.07.21,00:00,1809.79,1813.65,1794.65,1802.54,78643
1468,2021.07.22,00:00,1802.52,1808.29,1792.63,1807.08,75712
1469,2021.07.23,00:00,1807.2,1810.19,1789.78,1802.13,71925
1470,2021.07.25,00:00,1802.06,1802.66,1799.98,1800.28,2000
1471,2021.07.26,00:00,1800.38,1811.39,1796.3,1797.61,76382
1472,2021.07.27,00:00,1797.56,1805.1,1793.55,1799.84,77290
1473,2021.07.28,00:00,1799.76,1810.18,1792.65,1809.23,78947
1474,2021.07.29,00:00,1809.17,1832.61,1808.54,1830.1,75403
1475,2021.07.30,00:00,1830.15,1831.23,1810.16,1813.91,67961
1476,2021.08.01,00:00,1813.84,1815.13,1811.95,1813.86,2553
1477,2021.08.02,00:00,1813.81,1819.41,1805.71,1812.5,73257
1478,2021.08.03,00:00,1812.53,1814.92,1807.05,1811.06,63159
1479,2021.08.04,00:00,1811.14,1831.58,1806.42,1811.57,67380
1480,2021.08.05,00:00,1811.58,1814.71,1797.69,1803.45,66611
1481,2021.08.06,00:00,1803.38,1803.65,1758.61,1763.63,72276
1482,2021.08.08,00:00,1763.16,1764.54,1674.65,1718.97,10449
1483,2021.08.09,00:00,1720.68,1752.49,1706.44,1731.43,97637
1484,2021.08.10,00:00,1731.54,1738.18,1717.65,1726.83,78629
1485,2021.08.11,00:00,1726.88,1754.32,1723.99,1752.29,78267
1486,2021.08.12,00:00,1751.97,1758.0,1741.6,1753.34,70437
1487,2021.08.13,00:00,1753.24,1779.96,1751.52,1779.46,64816
1488,2021.08.15,00:00,1779.94,1780.12,1778.34,1778.71,3129
1489,2021.08.16,00:00,1778.83,1789.14,1770.77,1787.41,73208
