,Unnamed: 0,time,open,high,low,close,tick_volume,spread,real_volume,Time
34143,34143,1638763200,1.12942,1.12967,1.12821,1.12823,4649,0,0,2021-12-06 10:00:00
34144,34144,1638777600,1.12824,1.12996,1.12749,1.12974,11562,0,0,2021-12-06 14:00:00
34145,34145,1638792000,1.12974,1.131,1.1285,1.12972,11296,0,0,2021-12-06 18:00:00
34146,34146,1638806400,1.12972,1.13079,1.12665,1.12789,17244,0,0,2021-12-06 22:00:00
34147,34147,1638820800,1.12789,1.12858,1.12726,1.12847,6971,0,0,2021-12-07 02:00:00
34148,34148,1638835200,1.12821,1.12869,1.12757,1.1282,4022,0,0,2021-12-07 06:00:00
34149,34149,1638849600,1.12821,1.1293,1.1281,1.12873,5078,0,0,2021-12-07 10:00:00
34150,34150,1638864000,1.12872,1.12983,1.12534,1.12744,12955,0,0,2021-12-07 14:00:00
34151,34151,1638878400,1.12745,1.12778,1.12274,1.124,15029,0,0,2021-12-07 18:00:00
34152,34152,1638892800,1.12402,1.12547,1.12352,1.12438,16342,0,0,2021-12-07 22:00:00
34153,34153,1638907200,1.12438,1.12735,1.12415,1.12671,6514,0,0,2021-12-08 02:00:00
34154,34154,1638921600,1.12658,1.12813,1.12633,1.12786,3651,0,0,2021-12-08 06:00:00
34155,34155,1638936000,1.12787,1.12955,1.12787,1.12937,4656,0,0,2021-12-08 10:00:00
34156,34156,1638950400,1.12936,1.12953,1.12785,1.12848,12307,0,0,2021-12-08 14:00:00
34157,34157,1638964800,1.12848,1.13176,1.12668,1.13162,24567,0,0,2021-12-08 18:00:00
34158,34158,1638979200,1.13163,1.13497,1.13004,1.13486,18973,0,0,2021-12-08 22:00:00
34159,34159,1638993600,1.13485,1.13549,1.13408,1.13417,7389,0,0,2021-12-09 02:00:00
34160,34160,1639008000,1.13418,1.13449,1.13329,1.13343,5990,0,0,2021-12-09 06:00:00
34161,34161,1639022400,1.13345,1.1337,1.13267,1.13267,3746,0,0,2021-12-09 10:00:00
34162,34162,1639036800,1.13268,1.1334,1.13154,1.13191,10982,0,0,2021-12-09 14:00:00
34163,34163,1639051200,1.13192,1.13235,1.13069,1.13165,15764,0,0,2021-12-09 18:00:00
34164,34164,1639065600,1.13165,1.13193,1.12784,1.12898,16999,0,0,2021-12-09 22:00:00
34165,34165,1639080000,1.12899,1.12957,1.12819,1.12924,8123,0,0,2021-12-10 02:00:00
34166,34166,1639094400,1.12919,1.12972,1.1287,1.12968,3923,0,0,2021-12-10 06:00:00
34167,34167,1639108800,1.12968,1.13027,1.12944,1.12948,3929,0,0,2021-12-10 10:00:00
34168,34168,1639123200,1.12948,1.13009,1.12803,1.12824,10685,0,0,2021-12-10 14:00:00
34169,34169,1639137600,1.12823,1.13095,1.12649,1.12935,15682,0,0,2021-12-10 18:00:00
34170,34170,1639152000,1.12934,1.13243,1.12701,1.13188,21456,0,0,2021-12-10 22:00:00
34171,34171,1639166400,1.13188,1.13229,1.13099,1.13162,3627,0,0,2021-12-11 02:00:00
34172,34172,1639353600,1.13077,1.1319,1.13024,1.13052,4015,0,0,2021-12-13 06:00:00
34173,34173,1639368000,1.13055,1.13056,1.12924,1.12972,3912,0,0,2021-12-13 10:00:00
34174,34174,1639382400,1.12972,1.12978,1.12599,1.12681,10526,0,0,2021-12-13 14:00:00
34175,34175,1639396800,1.12681,1.12922,1.12626,1.12842,12914,0,0,2021-12-13 18:00:00
34176,34176,1639411200,1.12842,1.13071,1.12731,1.12931,17069,0,0,2021-12-13 22:00:00
34177,34177,1639425600,1.12931,1.13,1.12814,1.12842,5960,0,0,2021-12-14 02:00:00
34178,34178,1639440000,1.12807,1.12849,1.12738,1.12822,4430,0,0,2021-12-14 06:00:00
34179,34179,1639454400,1.12822,1.12837,1.12712,1.12778,3964,0,0,2021-12-14 10:00:00
34180,34180,1639468800,1.12779,1.13042,1.12663,1.1301,10175,0,0,2021-12-14 14:00:00
34181,34181,1639483200,1.13011,1.13237,1.13005,1.13084,14678,0,0,2021-12-14 18:00:00
34182,34182,1639497600,1.13084,1.13087,1.12653,1.12719,16168,0,0,2021-12-14 22:00:00
34183,34183,1639512000,1.12719,1.1272,1.12537,1.12583,5162,0,0,2021-12-15 02:00:00
34184,34184,1639526400,1.12575,1.12699,1.12532,1.1268,2963,0,0,2021-12-15 06:00:00
34185,34185,1639540800,1.12681,1.12725,1.12575,1.1269,3661,0,0,2021-12-15 10:00:00
34186,34186,1639555200,1.12691,1.12774,1.12627,1.12717,9682,0,0,2021-12-15 14:00:00
34187,34187,1639569600,1.12717,1.1277,1.12556,1.12735,11441,0,0,2021-12-15 18:00:00
34188,34188,1639584000,1.12735,1.12746,1.12479,1.126,16363,0,0,2021-12-15 22:00:00
34189,34189,1639598400,1.12599,1.12992,1.12217,1.12919,27147,0,0,2021-12-16 02:00:00
34190,34190,1639612800,1.12905,1.1298,1.12811,1.1287,5186,0,0,2021-12-16 06:00:00
34191,34191,1639627200,1.1287,1.1291,1.12836,1.12856,3997,0,0,2021-12-16 10:00:00
34192,34192,1639641600,1.12856,1.1319,1.12833,1.13131,12883,0,0,2021-12-16 14:00:00
34193,34193,1639656000,1.13132,1.13593,1.12903,1.13591,20982,0,0,2021-12-16 18:00:00
34194,34194,1639670400,1.13592,1.13602,1.12984,1.13181,21722,0,0,2021-12-16 22:00:00
34195,34195,1639684800,1.13181,1.13368,1.13148,1.13296,7958,0,0,2021-12-17 02:00:00
34196,34196,1639699200,1.13296,1.13351,1.13207,1.13211,4558,0,0,2021-12-17 06:00:00
34197,34197,1639713600,1.13211,1.13489,1.132,1.13483,4870,0,0,2021-12-17 10:00:00
34198,34198,1639728000,1.13483,1.13488,1.13173,1.13345,13357,0,0,2021-12-17 14:00:00
